Video Title,Likes,Description,Comment,Replies
"$1 Vs $100,000,000 House!","4.1M

  I like this","I can’t believe how expensive the last house is
Buy Feastables this Halloween! Our limited edition trick or treat bags are now available at Walmart, Target, and Albertsons stores nationwide

In case you want to buy the $139,000,000 House... https://www.instagram.com/1200belair/

Discover over 1 million mainstream tracks for your YouTube videos at Lickd: https://go.lickd.co/mb3
Track:“Up & Down” by The Chainsmokers, 347aidan License ID:  MEgkVpMo6r5
Link: https://thechainsmokers.lnk.to/UAD

New Merch - https://mrbeast.store

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",Make sure you/your parents give away Feastables on Halloween!,Make sure you/your parents give away Feastables on Halloween!
"$1 Vs $100,000,000 House!","4.1M

  I like this","I can’t believe how expensive the last house is
Buy Feastables this Halloween! Our limited edition trick or treat bags are now available at Walmart, Target, and Albertsons stores nationwide

In case you want to buy the $139,000,000 House... https://www.instagram.com/1200belair/

Discover over 1 million mainstream tracks for your YouTube videos at Lickd: https://go.lickd.co/mb3
Track:“Up & Down” by The Chainsmokers, 347aidan License ID:  MEgkVpMo6r5
Link: https://thechainsmokers.lnk.to/UAD

New Merch - https://mrbeast.store

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",The 30M$ house was undoubtably the most beautiful house I’ve ever seen,The 30M$ house was undoubtably the most beautiful house I’ve ever seen
"$1 Vs $100,000,000 House!","4.1M

  I like this","I can’t believe how expensive the last house is
Buy Feastables this Halloween! Our limited edition trick or treat bags are now available at Walmart, Target, and Albertsons stores nationwide

In case you want to buy the $139,000,000 House... https://www.instagram.com/1200belair/

Discover over 1 million mainstream tracks for your YouTube videos at Lickd: https://go.lickd.co/mb3
Track:“Up & Down” by The Chainsmokers, 347aidan License ID:  MEgkVpMo6r5
Link: https://thechainsmokers.lnk.to/UAD

New Merch - https://mrbeast.store

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",Huge props to the editors and designers the set was spot on,Huge props to the editors and designers the set was spot on
"$1 Vs $100,000,000 House!","4.1M

  I like this","I can’t believe how expensive the last house is
Buy Feastables this Halloween! Our limited edition trick or treat bags are now available at Walmart, Target, and Albertsons stores nationwide

In case you want to buy the $139,000,000 House... https://www.instagram.com/1200belair/

Discover over 1 million mainstream tracks for your YouTube videos at Lickd: https://go.lickd.co/mb3
Track:“Up & Down” by The Chainsmokers, 347aidan License ID:  MEgkVpMo6r5
Link: https://thechainsmokers.lnk.to/UAD

New Merch - https://mrbeast.store

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------","MrBeast,I just want to thank you for all the money,effort and time you put in your videos.keep it up!","MrBeast,I just want to thank you for all the money,effort and time you put in your videos.keep it up!"
"$1 Vs $100,000,000 House!","4.1M

  I like this","I can’t believe how expensive the last house is
Buy Feastables this Halloween! Our limited edition trick or treat bags are now available at Walmart, Target, and Albertsons stores nationwide

In case you want to buy the $139,000,000 House... https://www.instagram.com/1200belair/

Discover over 1 million mainstream tracks for your YouTube videos at Lickd: https://go.lickd.co/mb3
Track:“Up & Down” by The Chainsmokers, 347aidan License ID:  MEgkVpMo6r5
Link: https://thechainsmokers.lnk.to/UAD

New Merch - https://mrbeast.store

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",Es increíble Mr beast siempre trayendo contenido de calidad al Canal,Es increíble Mr beast siempre trayendo contenido de calidad al Canal
"$1 Vs $100,000,000 House!","4.1M

  I like this","I can’t believe how expensive the last house is
Buy Feastables this Halloween! Our limited edition trick or treat bags are now available at Walmart, Target, and Albertsons stores nationwide

In case you want to buy the $139,000,000 House... https://www.instagram.com/1200belair/

Discover over 1 million mainstream tracks for your YouTube videos at Lickd: https://go.lickd.co/mb3
Track:“Up & Down” by The Chainsmokers, 347aidan License ID:  MEgkVpMo6r5
Link: https://thechainsmokers.lnk.to/UAD

New Merch - https://mrbeast.store

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------","it’s crazy to see how he went from  being a teenager making videos to being one of the most well known youtubers in the world, he has made such an impact!!","it’s crazy to see how he went from  being a teenager making videos to being one of the most well known youtubers in the world, he has made such an impact!!"
"$1 Vs $100,000,000 House!","4.1M

  I like this","I can’t believe how expensive the last house is
Buy Feastables this Halloween! Our limited edition trick or treat bags are now available at Walmart, Target, and Albertsons stores nationwide

In case you want to buy the $139,000,000 House... https://www.instagram.com/1200belair/

Discover over 1 million mainstream tracks for your YouTube videos at Lickd: https://go.lickd.co/mb3
Track:“Up & Down” by The Chainsmokers, 347aidan License ID:  MEgkVpMo6r5
Link: https://thechainsmokers.lnk.to/UAD

New Merch - https://mrbeast.store

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------",Crazy how he casually has famous people walking around the houses with barely any introduction on how famous they actually are,Crazy how he casually has famous people walking around the houses with barely any introduction on how famous they actually are
"$1 Vs $100,000,000 House!","4.1M

  I like this","I can’t believe how expensive the last house is
Buy Feastables this Halloween! Our limited edition trick or treat bags are now available at Walmart, Target, and Albertsons stores nationwide

In case you want to buy the $139,000,000 House... https://www.instagram.com/1200belair/

Discover over 1 million mainstream tracks for your YouTube videos at Lickd: https://go.lickd.co/mb3
Track:“Up & Down” by The Chainsmokers, 347aidan License ID:  MEgkVpMo6r5
Link: https://thechainsmokers.lnk.to/UAD

New Merch - https://mrbeast.store

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------","The 30,000,000$ was the best one for sure","The 30,000,000$ was the best one for sure"
"$1 Vs $100,000,000 House!","4.1M

  I like this","I can’t believe how expensive the last house is
Buy Feastables this Halloween! Our limited edition trick or treat bags are now available at Walmart, Target, and Albertsons stores nationwide

In case you want to buy the $139,000,000 House... https://www.instagram.com/1200belair/

Discover over 1 million mainstream tracks for your YouTube videos at Lickd: https://go.lickd.co/mb3
Track:“Up & Down” by The Chainsmokers, 347aidan License ID:  MEgkVpMo6r5
Link: https://thechainsmokers.lnk.to/UAD

New Merch - https://mrbeast.store

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------","Man that $30,000,000 house is goals","Man that $30,000,000 house is goals"
"$1 Vs $100,000,000 House!","4.1M

  I like this","I can’t believe how expensive the last house is
Buy Feastables this Halloween! Our limited edition trick or treat bags are now available at Walmart, Target, and Albertsons stores nationwide

In case you want to buy the $139,000,000 House... https://www.instagram.com/1200belair/

Discover over 1 million mainstream tracks for your YouTube videos at Lickd: https://go.lickd.co/mb3
Track:“Up & Down” by The Chainsmokers, 347aidan License ID:  MEgkVpMo6r5
Link: https://thechainsmokers.lnk.to/UAD

New Merch - https://mrbeast.store

SUBSCRIBE OR I TAKE YOUR DOG
╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com

----------------------------------------------------------------
follow all of these or i will kick you
• Facebook - https://www.facebook.com/MrBeast6000/
• Twitter - https://twitter.com/MrBeast
•  Instagram - https://www.instagram.com/mrbeast
•  Im Hiring! - https://www.mrbeastjobs.com/
--------------------------------------------------------------------","Parabéns, chegamos a 200 milhões 🇧🇷️","Parabéns, chegamos a 200 milhões 🇧🇷️"
